Term,Type/Unit,Description
National Renewable Energy Laboratory (NREL),Organization,"The National Renewable Energy Laboratory (NREL) is a research institute that is focused on advancing renewable energy technologies. NREL has developed a number of tools and resources to help people and organizations understand and evaluate the potential of renewable energy, including a software tool called the System Advisor Model (SAM)."
System Advisor Model (SAM),Software,"SAM is a free, open-source software program that allows users to model, analyze, and optimize the performance of renewable energy systems. It is widely used by industry professionals, researchers, and policy makers to evaluate the feasibility and potential benefits of using renewable energy technologies."
National Solar Radiation Database (NSRDB),Database,"The NSRDB is a comprehensive database of solar radiation and meteorological data for the United States. It is maintained by the National Renewable Energy Laboratory NREL, and is freely available for download and use. The NSRDB contains hourly solar radiation and meteorological data for over 1,000 locations across the United States, and is widely used by researchers, industry professionals, and policy makers to evaluate the potential of renewable energy technologies. The NSRDB can be used in conjunction with the SAM to model and analyze the performance of renewable energy systems."
PVWatts,Software,"PVWatts is a solar power calculation tool developed by the NREL. It is a free, online tool that allows users to estimate the electricity production and cost of energy of a grid-connected photovoltaic (PV) system based on a few simple inputs, such as the location, size, and type of PV system. PVWatts uses data from the NSRDB to calculate the amount of solar radiation that a PV system is likely to receive at a given location, and then estimates the electricity production and cost of energy of the PV system based on that data. PVWatts is widely used by industry professionals, researchers, and consumers to evaluate the potential of PV systems and to compare the performance of different PV technologies."
Typical Meteorological Year (TMY),Dataframe,"A TMY is a data set that provides a representative year of hourly meteorological data for a specific location. TMY data sets are commonly used in the renewable energy industry to model and analyze the performance of solar, wind, and other renewable energy technologies. TMY data sets are generated by selecting the most representative hour of data from each day of the year, based on long-term averages of meteorological data for a specific location. This allows users to easily evaluate the potential of renewable energy technologies for a specific location, without having to use multiple years of data. TMY data sets are widely used in conjunction with software tools like the SAM to model and analyze the performance of renewable energy systems."
Photovoltaic (PV) ,Technology,"Photovoltaic (PV) technology converts sunlight directly into electricity. PV systems are typically made up of many solar cells, which are arranged in panels or modules. When sunlight hits a solar cell, it excites the electrons in the cell, causing them to flow and generate a current. This current can then be used to power electrical devices or be sent to the grid for use by others. PV systems are a clean, renewable, and increasingly cost-effective source of electricity, and are widely used in a variety of applications, including residential and commercial rooftops, utility-scale power plants, and portable or off-grid systems."
Application Programming Interface (API),Software,"In the context of software development, an API is a set of rules and protocols that allows different software programs to communicate with each other and share data and functionality. An API defines how software components should interact, and provides a standard way for developers to access and use the capabilities of a particular system or service. APIs are widely used in the software industry to enable different applications and services to work together, and to make it easier for developers to build new products and services on top of existing systems."
Latitude,Decimal Degree,"Latitude is a geographical coordinate that specifies the north-south position of a point on the Earth's surface. It is usually expressed in degrees and is measured relative to the equator, with values ranging from 90 degrees north to 90 degrees south. The equator is the line of 0 degrees latitude, while the North Pole is at 90 degrees north and the South Pole is at 90 degrees south. Latitude is used along with longitude to specify the precise location of a point on the Earth's surface."
Longitude,Decimal Degree,"Longitude is a geographical coordinate that specifies the east-west position of a point on the Earth's surface. It is measured relative to the Prime Meridian, which is the line of 0 degrees longitude that runs through the Royal Observatory in Greenwich, London, England. Longitude is typically expressed in degrees and ranges from 180 degrees west to 180 degrees east. It is used together with latitude to specify the precise location of a point on the Earth's surface."
Dew Point,Degrees Celsius ,"The dew point is the temperature at which air becomes saturated with water vapor, resulting in the formation of dew. It is an important measure of atmospheric moisture and is often used to predict the likelihood of fog, precipitation, and other forms of moisture in the air. The dew point is calculated based on the temperature and relative humidity of the air. When the temperature of the air cools to the dew point, moisture in the air will condense and form dew. This typically occurs at night when the air cools down, but it can also happen during the day if the air is cooled by other means, such as evaporation or contact with a cool surface."
Elevation,Meters,The elevation of the selected location where weather data is extracted.
Direct Normal Irradiance (DNI),Watts Per Square Meter,"DNI is a measure of the amount of solar radiation that is incident on a surface perpendicular to the sun's rays. It is typically measured in units of watts per square meter (W/m2) and is used to assess the potential efficiency of solar power systems. DNI is an important factor in the design and performance of solar collectors and other solar energy technologies, as it directly affects the amount of energy that can be harvested from the sun. In general, the higher the DNI, the more solar energy that can be collected and converted into usable power."
Global Horizontal Irradiance (GHI),Watts Per Square Meter," GHI is a measure of the amount of solar radiation that is incident on a horizontal surface. It is typically measured in units of watts per square meter (W/m2) and is used to assess the potential efficiency of solar power systems. GHI is an important factor in the design and performance of solar collectors and other solar energy technologies, as it directly affects the amount of energy that can be harvested from the sun. In general, the higher the GHI, the more solar energy that can be collected and converted into usable power. GHI is different from direct normal irradiance (DNI), which is a measure of the solar radiation that is incident on a surface perpendicular to the sun's rays."
Diffuse Horizontal Irradiance (DHI),Watts Per Square Meter,"DHI is a measure of the amount of solar radiation that is incident on a horizontal surface after being scattered by the atmosphere. It is typically measured in units of watts per square meter (W/m2) and is used to assess the potential efficiency of solar power systems. DHI is an important factor in the design and performance of solar collectors and other solar energy technologies, as it can affect the amount of solar energy that can be collected and converted into usable power. In general, the higher the DHI, the more solar energy that can be collected, even on cloudy or overcast days. DHI is different from global horizontal irradiance (GHI), which is a measure of the total amount of solar radiation incident on a horizontal surface, including direct and diffuse radiation."
Pressure,Millibar,"Atmospheric pressure is the pressure exerted by the weight of the atmosphere on the surface of the Earth. It is also known as barometric pressure and is typically measured in units of pascals or millibars. At sea level, the average atmospheric pressure is 1013.25 millibars. Atmospheric pressure varies depending on altitude, temperature, and weather conditions. It decreases with increasing altitude and can rise or fall due to changes in temperature and weather. Atmospheric pressure is an important factor in determining the weather and is used by meteorologists to make weather forecasts."
Wind Direction,Degrees,"Wind direction refers to the direction from which the wind is blowing. It is typically reported in degrees, with 0 degrees being a wind blowing from the north, 90 degrees being a wind blowing from the east, 180 degrees being a wind blowing from the south, and 270 degrees being a wind blowing from the west. Wind direction is often reported in weather forecasts, along with wind speed, to help people understand the current wind conditions and how they may affect outdoor activities. Wind direction is determined using a wind vane, which is a device that uses the wind to move a pointer in the direction from which the wind is blowing."
Wind Speed,Meters Per Second,"Wind speed is a measure of the speed at which wind is blowing. It is typically measured in units of meters per second, miles per hour, or knots. Wind speed is an important factor in determining the weather and can affect various activities, such as flying a kite, sailing a boat, or driving a car. Wind speed is often reported in weather forecasts, along with wind direction, to help people understand the current wind conditions and how they may affect outdoor activities. Wind speed is determined using an anemometer, which is a device that measures the speed of the wind as it blows past."
Surface Albedo,Ratio,"Albedo is a measure of the amount of sunlight reflected by the ground. Most of the sunlight that reaches the surface of a photovoltaic module comes directly from the sun (direct or beam irradiance) or reflected from clouds or particles in the atmosphere (diffuse irradiance), but a small amount is also reflected from the ground (ground diffuse irradiance), depending on the array's orientation and the position of the sun."
Azimuth,Degrees,"For a fixed array, the azimuth angle is the angle clockwise from true north describing the direction that the array faces. An azimuth angle of 180° is for a south-facing array, and an azimuth angle of zero degrees is for a north-facing array. For an array with one-axis tracking, the azimuth angle is the angle clockwise from true north of the axis of rotation. The azimuth angle does not apply to arrays with two-axis tracking. The default value is an azimuth angle of 180° (south-facing) for locations in the northern hemisphere and 0° (north-facing) for locations in the southern hemisphere. These values typically maximize electricity production over the year, although local weather patterns may cause the optimal azimuth angle to be slightly more or less than the default values. For the northern hemisphere, increasing the azimuth angle favors afternoon energy production, and decreasing the azimuth angle favors morning energy production. The opposite is true for the southern hemisphere. N: 0, NE: 45, E: 90, SE: 135, S: 180, SW: 225, W: 270, NW: 315."
System Capacity (Size),Kilowatt ,"System capacity is a measure of the maximum amount of power that a solar panel system can produce. It is typically measured in units of watts or kilowatts, and is determined by the number and size of the solar panels in the system, as well as the efficiency of the panels and other components. Solar panel system capacity is an important factor in the design and performance of a solar power system, as it determines the amount of energy that the system can produce. In general, a larger solar panel system with high-efficiency panels will have a higher capacity and be able to generate more electricity than a smaller system with lower-efficiency panels. The DC system size is the DC (direct current) power rating of the photovoltaic array in kilowatts (kW) at standard test conditions (STC). In this instance, it is calculated by multiplying the array area by the module efficiency. It is calculated by multiplying the module efficiency and array area."
Inverter Efficiency,Percent,"The inverter's nominal rated DC-to-AC conversion efficiency, defined as the inverter's rated AC power output divided by its rated DC power output. The efficiency of a solar panel inverter is a measure of how effectively the inverter converts the direct current (DC) electricity produced by the solar panels into alternating current (AC) electricity that can be used by household appliances and other devices. It is typically expressed as a percentage and can range from about 80% to more than 99%. The efficiency of a solar panel inverter is an important factor in the overall efficiency of a solar power system, as it affects the amount of electricity that can be generated and used by the system. In general, a higher-efficiency inverter will be able to convert more of the DC electricity produced by the solar panels into usable AC electricity, resulting in a more efficient solar power system."
Losses,Percent,"Solar panel losses refer to the amount of solar energy that is not converted into usable electricity by the solar panels. There are several factors that can cause losses in a solar panel system, including the efficiency of the panels, the temperature of the panels, and shading or obstructions that block the sun's rays from reaching the panels. Solar panel losses are an important factor in the performance of a solar power system, as they can affect the amount of electricity that the system can generate. In general, reducing solar panel losses can improve the efficiency of a solar power system and increase the amount of electricity it can produce. These total losses include soiling, shading, snow, mismatch, wiring, connections, light-induced degradation, nameplate rating, age, and availability."
Ground Coverage Ratio (GCR),Ratio,"The ground coverage ratio (GCR) is the ratio of module surface area to the area of the ground or roof occupied by the array. The GCR applies only to arrays with one-axis tracking. A GCR of 0.5 means that when the modules are horizontal, half of the surface below the array is occupied by the array. An array with wider spacing between rows of modules has a lower GCR than one with narrower spacing. A GCR of 1 would be for an array with no space between modules, and a GCR of 0 for infinite spacing between rows. The default value is 0.4, and typical values range from 0.3 to 0.6."
DC to AC Ratio,Ratio,"The DC to AC size ratio is the ratio of the array's DC rated size to the inverter's AC rated size. For the default value of 1.2, a 4 kW system size would be for a 4 DC kW array at standard test conditions (STC) and 4 DC kW / 1.2 = 3.33 AC kW inverter. For a system with a high DC to AC size ratio, for times when the array's DC power output exceeds the inverter's rated DC input power, the inverter limits the array's power output by increasing the DC operating voltage, which moves the array's operating point down its current-voltage (I-V) curve. The default value of 1.20 is reasonable for most systems. A typical range is 1.10 to 1.25, although some large-scale systems have ratios as high as 1.50. The optimal value depends on the system's location, array orientation, and module and inverter costs."
Fixed - Open Rack,PV Array Type,"A fixed open rack solar panel is a type of solar panel that is mounted on a fixed, open frame or rack. This type of solar panel is typically used in ground-mounted solar installations, where the panels are positioned on a fixed angle and orientation to maximize their exposure to sunlight. Fixed open rack solar panels are a popular choice for large-scale solar installations, such as utility-scale solar power plants, because they are relatively easy to install and maintain. They are also more cost-effective than other types of solar panels, such as those that use tracking systems to follow the movement of the sun."
Fixed - Roof Mounted,PV Array Type,"A fixed roof-mounted solar panel is a type of solar panel that is mounted on a fixed, angled frame or rack on the roof of a building. This type of solar panel is typically used in residential and commercial solar installations, where the panels are positioned at a fixed angle and orientation to maximize their exposure to sunlight. Fixed roof-mounted solar panels are a popular choice for many buildings because they are relatively easy to install and maintain. They are also a more cost-effective option than other types of solar panels, such as those that use tracking systems to follow the movement of the sun. In addition, fixed roof-mounted solar panels are less intrusive and less likely to cause visual disruptions than other types of solar panels."
1-Axis,PV Array Type,"A 1-axis solar panel is a type of solar panel that is mounted on a single axis of rotation. This allows the panel to rotate and follow the movement of the sun throughout the day, which helps to maximize its exposure to sunlight and improve its overall efficiency. 1-axis solar panels are typically used in residential and commercial solar installations, where they are mounted on a fixed frame or rack on the roof of a building. The single axis of rotation allows the panels to track the sun as it moves across the sky, improving their efficiency and making them a more cost-effective option than fixed solar panels. Some 1-axis solar panels are manually adjusted, while others use automated tracking systems to follow the sun's movement."
Backtracked,PV Array Type,1-axis tracking with backtracking is a tracking algorithm that rotates the array toward the horizontal during early morning and late evening hours to reduce the effect of self shading.
2-Axis,PV Array Type,"A 2-axis solar panel is a type of solar panel that is mounted on a frame or rack with two axes of rotation. This allows the panel to rotate and tilt in two different directions, which allows it to follow the movement of the sun more precisely and maximize its exposure to sunlight. 2-axis solar panels are typically used in residential and commercial solar installations, where they are mounted on the roof of a building. The dual axes of rotation allow the panels to track the sun as it moves across the sky, improving their efficiency and making them a more cost-effective option than fixed solar panels. Some 2-axis solar panels are manually adjusted, while others use automated tracking systems to follow the sun's movement."
